SampleID,Group
X6_4,DE
X6_5,DE
XZ10_1,DE
XZ10_2,DE
XZ10_3,DE
XZ13_1,GE
XZ13_2,GE
XZ13_3,GE
XZ13_4,GE
XZ13_5,GE
XZ42_1,GE
XZ42_2,GE
XZ42_3,GE
XZ42_4,GE
XZ42_5,GE
XZ51_1,ME
XZ51_2,ME
XZ51_3,ME
XZ57_1,DE
XZ57_2,DE
XZ57_3,DE
XZ59_1,DE
XZ59_2,DE
XZ59_3,DE
XZ59_4,DE
XZ59_5,DE
XZ79_1,GE
XZ79_2,GE
XZ79_3,GE
XZ79_4,GE
XZ79_5,GE
YN493_1,DE
YN493_2,DE
YN493_3,DE
YN493_4,DE
YN493_5,DE
YN497_1,DE
YN497_2,DE
YN497_3,DE
YN497_4,DE
YN497_5,DE
YN500_1,DE
YN500_2,DE
YN500_3,DE
YN500_4,DE
YN500_5,DE
YN501_1,GE
YN501_2,GE
YN501_3,GE
YN501_4,GE
YN501_5,GE
YN504_1,DE
YN504_2,DE
YN504_3,DE
YN504_4,DE
YN504_5,DE
YN509_1,DE
YN509_2,DE
YN509_3,DE
YN509_4,DE
YN509_5,DE
YN526_1,ME
YN526_2,ME
YN526_3,ME
YN526_4,ME
YN526_5,ME
YN527_1,ME
YN527_2,ME
YN527_3,ME
YN527_4,ME
YN527_5,ME
YN529_1,DE
YN529_2,DE
YN529_3,DE
YN529_4,DE
YN529_5,DE
YN533_1,GE
YN533_2,GE
YN533_3,GE
YN533_4,GE
YN533_5,GE
YN534_1,DE
YN534_2,DE
YN534_3,DE
YN534_4,DE
YN534_5,DE
YN548_1,ME
YN548_2,ME
YN548_3,ME
YN548_4,ME
YN548_5,ME
YN561_1,DE
YN561_2,DE
YN561_3,DE
YN561_4,DE
YN561_5,DE
YN575_1,GE
YN575_2,GE
YN575_3,GE
YN575_4,GE
YN575_5,GE
YN580_1,GE
YN580_2,GE
YN580_3,GE
YN580_4,GE
YN580_5,GE
YN583_1,GE
YN583_2,GE
YN583_3,GE
YN583_4,GE
YN583_5,GE
YN589_1,DE
YN589_2,DE
YN589_3,DE
YN589_4,DE
YN589_5,DE
YN594_1,DE
YN594_2,DE
YN594_3,DE
YN594_4,DE
YN594_5,DE
YN598_1,DE
YN598_2,DE
YN598_3,DE
YN598_4,DE
YN598_5,DE
YN613_1,DE
YN613_2,DE
YN613_3,DE
YN613_4,DE
YN613_5,DE
YN618_1,GP
YN618_2,GP
YN618_3,GP
YN618_4,GP
YN618_5,GP
YN620_1,DE
YN620_2,DE
YN620_3,DE
YN620_4,DE
YN620_5,DE
Z407_1,GP
Z407_2,GP
Z407_4,GP
