SampleID	place	p_class	Eriophyoidea_family	geographic_emarcation	longitude	latitude	heigh	bio12	bio15	bio18	bio2	bio3	bio8	plant	Relationship	Group	Zoogeographical
FJ113_4	FJ	Gymnospermae	Eriophyidae	Subtropical evergreen broad-leaved forest	118.8305	24.9853	25	1135	57	373	61	27	232	11	Gymnospermae_Eriophyidae	GE	South China
FJ113_5	FJ	Gymnospermae	Eriophyidae	Subtropical evergreen broad-leaved forest	118.8305	24.9853	25	1135	57	373	61	27	232	11	Gymnospermae_Eriophyidae	GE	South China
FJ32_1	FJ	Gymnospermae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.6686	24.5291	16	1439	59	498	64	28	263	5	Gymnospermae_Eriophyidae	GE	South China
FJ32_2	FJ	Gymnospermae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.6686	24.5291	16	1439	59	498	64	28	263	5	Gymnospermae_Eriophyidae	GE	South China
FJ32_3	FJ	Gymnospermae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.6686	24.5291	16	1439	59	498	64	28	263	5	Gymnospermae_Eriophyidae	GE	South China
FJ32_4	FJ	Gymnospermae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.6686	24.5291	16	1439	59	498	64	28	263	5	Gymnospermae_Eriophyidae	GE	South China
FJ32_5	FJ	Gymnospermae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.6686	24.5291	16	1439	59	498	64	28	263	5	Gymnospermae_Eriophyidae	GE	South China
FJ41_1	FJ	Dicotyledoneae	Diptilomiopidae 	Subtropical evergreen broad-leaved forest	117.9792	27.63	190	1906	63	624	85	29	216	42	Dicotyledoneae_Diptilomiopidae 	DED	Central China
FJ41_2	FJ	Dicotyledoneae	Diptilomiopidae 	Subtropical evergreen broad-leaved forest	117.9792	27.63	190	1906	63	624	85	29	216	42	Dicotyledoneae_Diptilomiopidae 	DED	Central China
FJ41_3	FJ	Dicotyledoneae	Diptilomiopidae 	Subtropical evergreen broad-leaved forest	117.9792	27.63	190	1906	63	624	85	29	216	42	Dicotyledoneae_Diptilomiopidae 	DED	Central China
FJ41_4	FJ	Dicotyledoneae	Diptilomiopidae 	Subtropical evergreen broad-leaved forest	117.9792	27.63	190	1906	63	624	85	29	216	42	Dicotyledoneae_Diptilomiopidae 	DED	Central China
FJ41_5	FJ	Dicotyledoneae	Diptilomiopidae 	Subtropical evergreen broad-leaved forest	117.9792	27.63	190	1906	63	624	85	29	216	42	Dicotyledoneae_Diptilomiopidae 	DED	Central China
FJ50_1	FJ	Dicotyledoneae	Diptilomiopidae 	Subtropical evergreen broad-leaved forest	117.9792	27.63	190	1906	63	624	85	29	216	42	Dicotyledoneae_Diptilomiopidae 	DED	Central China
FJ50_2	FJ	Dicotyledoneae	Diptilomiopidae 	Subtropical evergreen broad-leaved forest	117.9792	27.63	190	1906	63	624	85	29	216	42	Dicotyledoneae_Diptilomiopidae 	DED	Central China
FJ50_3	FJ	Dicotyledoneae	Diptilomiopidae 	Subtropical evergreen broad-leaved forest	117.9792	27.63	190	1906	63	624	85	29	216	42	Dicotyledoneae_Diptilomiopidae 	DED	Central China
FJ50_4	FJ	Dicotyledoneae	Diptilomiopidae 	Subtropical evergreen broad-leaved forest	117.9792	27.63	190	1906	63	624	85	29	216	42	Dicotyledoneae_Diptilomiopidae 	DED	Central China
FJ51_1	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.9792	27.63	190	1906	63	624	85	29	216	42	Dicotyledoneae_Eriophyidae	DED	Central China
FJ51_2	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.9792	27.63	190	1906	63	624	85	29	216	42	Dicotyledoneae_Eriophyidae	DED	Central China
FJ51_3	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.9792	27.63	190	1906	63	624	85	29	216	42	Dicotyledoneae_Eriophyidae	DED	Central China
FJ53_1	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.9792	27.63	190	1906	63	624	85	29	216	42	Dicotyledoneae_Eriophyidae	DED	Central China
FJ53_2	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.9792	27.63	190	1906	63	624	85	29	216	42	Dicotyledoneae_Eriophyidae	DED	Central China
FJ53_3	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.9792	27.63	190	1906	63	624	85	29	216	42	Dicotyledoneae_Eriophyidae	DED	Central China
FJ53_4	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.9792	27.63	190	1906	63	624	85	29	216	42	Dicotyledoneae_Eriophyidae	DED	Central China
FJ53_5	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.9792	27.63	190	1906	63	624	85	29	216	42	Dicotyledoneae_Eriophyidae	DED	Central China
FJ54_1	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.9792	27.63	190	1906	63	624	85	29	216	42	Dicotyledoneae_Eriophyidae	DED	Central China
FJ54_2	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.9792	27.63	190	1906	63	624	85	29	216	42	Dicotyledoneae_Eriophyidae	DED	Central China
FJ54_3	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.9792	27.63	190	1906	63	624	85	29	216	42	Dicotyledoneae_Eriophyidae	DED	Central China
FJ54_4	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.9792	27.63	190	1906	63	624	85	29	216	42	Dicotyledoneae_Eriophyidae	DED	Central China
FJ54_5	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.9792	27.63	190	1906	63	624	85	29	216	42	Dicotyledoneae_Eriophyidae	DED	Central China
